Activity ID,Activity Date,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Heart Rate,Average Heart Rate,Calories,Relative Effort,Grade Adjusted Distance
3446815010,"May 13, 2020, 8:16:58 PM",Run,2096,8.04,177,56,2096,8045.200195,8.800000191,3.838358879,140.0274353,139.1269989,235.3999939,287,18.29999924,0.011186794,177,,528,56,8360
3452141533,"May 14, 2020, 8:46:42 PM",Run,2220,8.42,177,62,2188,8427.299805,9.600000381,3.851599693,162.6287537,160.529007,234.8999939,288.3999939,21.20000076,0.024919013,177,,556,62,8818.5
3460445060,"May 16, 2020, 1:41:17 PM",Run,3017,11.27,179,86,2989,11275.7998,8.100000381,3.772432327,197.0375671,197.2380066,233.6999969,288.3999939,22,-0.00177371,179,,747,86,11715.2998
3467621814,"May 17, 2020, 2:07:48 PM",Run,2158,8.08,174,50,2158,8081.700195,7.900000095,3.744995356,157.0259705,156.526001,234.8999939,288.3999939,29.89999962,0.006186817,174,,540,50,8475.299805
3479234272,"May 19, 2020, 8:03:28 PM",Run,2221,8.22,181,64,2129,8221.200195,8.199999809,3.861531258,154.9367828,154.5370026,234.8999939,288.3999939,50,0.00486547,181,,542,64,8582.700195
3490528197,"May 21, 2020, 8:31:39 PM",Run,2066,8.12,185,71,2054,8123,12.39999962,3.954722404,151.5053711,152.0050049,234.8999939,288.3999939,16,-0.006155361,185,160.3116608,527,71,8475
3498634161,"May 23, 2020, 1:43:36 PM",Run,2693,10.06,192,113,2686,10068.2002,8.199999809,3.748399019,204.4449768,206.1450043,233.6999969,288.3999939,23.79999924,-0.016884845,,165.8213501,672,113,10586.40039
3504302876,"May 24, 2020, 1:28:56 PM",Run,2337,8.69,169,44,2317,8689.799805,8.600000381,3.750453234,159.4643097,159.6640015,234.8999939,288.3999939,22.5,-0.002301549,,147.7679291,577,44,9096.299805
3511581068,"May 25, 2020, 7:54:36 PM",Run,2180,8.19,177,51,2180,8192.900391,7.300000191,3.758210897,152.6816559,152.6820068,234.8999939,288.3999939,21.10000038,0,,151.5517883,542,51,8561.400391
3522595947,"May 27, 2020, 8:34:32 PM",Run,2096,8.1,182,80,2055,8104.299805,8.5,3.943698406,142.3838501,143.3840027,235.3999939,287,15.30000019,-0.012339128,,163.0712433,533,80,8406.700195
3527876082,"May 28, 2020, 8:43:06 PM",Run,2167,8.12,174,51,2133,8127.600098,9.399999619,3.810407877,135.4676666,133.7680054,235.3999939,287,20.89999962,0.020916384,,152.0651245,538,51,8409.400391
3536731991,"May 30, 2020, 2:38:20 PM",Run,3003,11.28,174,85,3003,11282.2998,9.5,3.757009745,162.7900238,162.7899933,235.3999939,287,22.39999962,0,,156.0587463,755,85,11621.7998
3542061062,"May 31, 2020, 1:37:43 PM",Run,2585,9.86,172,59,2576,9859,8.399999619,3.827251434,154.9689636,154.0690002,235.3999939,287,14.89999962,0.009128715,,149.8230286,656,59,10192.90039
3549589159,"Jun 1, 2020, 8:25:54 PM",Run,2154,8.22,176,47,2136,8220.299805,9.199999809,3.848454952,133.6962738,132.7962799,235.3999939,287,26.29999924,0.010948505,,150.3756104,542,47,8504.700195
3560159458,"Jun 3, 2020, 8:18:06 PM",Run,2163,8.18,175,56,2163,8180.399902,9.100000381,3.781969547,133.692627,132.8926239,235.3999939,286.8999939,28.39999962,0.009779473,,154.0343933,542,56,8473.299805
3564810443,"Jun 4, 2020, 8:07:04 PM",Run,2180,8.22,172,45,2180,8226,13.5,3.773394585,133.5847473,132.2847443,235.3999939,286.8999939,24.29999924,0.015803549,,149.1123505,546,45,8532.700195
3572772705,"Jun 6, 2020, 2:07:05 PM",Run,3102,11.28,177,86,3085,11282,10.5,3.657050133,179.7507782,179.7507782,234.8999939,288.3999939,26.39999962,0,,155.5875244,757,86,11678.40039
3578500738,"Jun 7, 2020, 2:11:36 PM",Run,2190,8.15,175,49,2190,8155.799805,8.800000191,3.72410965,152.4271851,150.8271942,234.8999939,288.3999939,29.10000038,0.019617941,,150.2269592,542,49,8544.5
3585064535,"Jun 8, 2020, 8:27:11 PM",Run,2261,8.26,176,49,2206,8266.099609,10.10000038,3.747098923,155.4814606,153.7814636,234.8999939,288.3999939,30.70000076,0.020565925,,150.350174,547,49,8650.599609
3595003206,"Jun 10, 2020, 8:14:09 PM",Run,1833,6.96,170,46,1833,6960.799805,9.399999619,3.797490358,115.0983734,114.2983704,234.8999939,288.3999939,19,0.011492932,,152.2540283,457,46,7184.299805
3598167527,"Jun 11, 2020, 1:45:28 PM",Run,3319,12.11,173,68,3266,12116,7.800000191,3.709736586,161.0805206,151.7805176,246.8999939,295.3999939,19.5,0.076758005,,148.7239532,803,68,12427.7002
3608612865,"Jun 13, 2020, 1:56:12 PM",Run,3668,13.69,174,94,3664,13691.90039,11.10000038,3.736872196,236.622757,237.42276,234.8999939,281.8999939,24.29999924,-0.005842871,,153.5688171,912,94,14263.09961
3614103537,"Jun 14, 2020, 1:56:21 PM",Run,2269,8.63,170,45,2269,8631.099609,8.800000191,3.803922415,166.1607208,165.7607269,234.8999939,288.3999939,30.79999924,0.004634404,,148.7827759,572,45,9049.099609
3624161177,"Jun 16, 2020, 2:05:48 PM",Run,2200,8.99,169,52,2200,8997,8.399999619,4.08954525,65.77669525,80.97669983,252.1000061,285.7000122,25.60000038,-0.168945208,,150.8947906,592,52,9119.900391
3630832496,"Jun 17, 2020, 7:29:13 PM",Run,2507,9.02,183,55,2317,9020.400391,9,3.893137693,161.2944489,161.0944519,239.1000061,282,30.10000038,0.002217197,,151.6675568,606,55,9380.099609
3635716758,"Jun 18, 2020, 8:18:31 PM",Run,2150,8.22,169,54,2150,8225.5,8.300000191,3.825814009,154.6368256,153.0368195,234.8999939,288.3999939,17.79999924,0.019451706,,152.6252441,546,54,8587.700195
