Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Media
3333343020,"Apr 21, 2020, 8:31:24 PM",Afternoon Run,Run,,2399,9.14,180.0,61,false,,,activities/3562551497.tcx.gz,0.0,,2399.0,2399.0,9140.7998046875,8.300000190734863,3.8102543354034424,150.51609802246094,149.21600341796875,235.39999389648438,287.0,22.899999618530273,0.014221949502825737,,,,,180.0,,,,607.0,,,61.0,,,,,,,,,,,,,0.0,,1.0,9488.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3338196180,"Apr 22, 2020, 8:26:02 PM",Afternoon Run,Run,,1888,7.24,185.0,67,false,,,activities/3567627916.tcx.gz,0.0,,1888.0,1888.0,7239.5,7.900000095367432,3.8344810009002686,123.513671875,123.61399841308594,235.3000030517578,287.0,23.5,-0.0013813108671456575,,,,,185.0,,,,477.0,,,67.0,,,,,,,,,,,,,0.0,,1.0,7507.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3346812631,"Apr 24, 2020, 4:19:09 PM",Lunch Run,Run,,1943,7.25,183.0,47,false,,,activities/3576566130.tcx.gz,0.0,,1943.0,1899.0,7253.7998046875,7.300000190734863,3.8197999000549316,112.90947723388672,111.80899810791016,235.39999389648438,287.0,18.100000381469727,0.015164465643465519,,,,,183.0,,,,486.0,,,47.0,,,,,,,,,,,,,0.0,,1.0,7498.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3351273379,"Apr 25, 2020, 2:25:24 PM",Morning Run,Run,,2916,11.29,179.0,61,false,,,activities/3581259820.tcx.gz,0.0,,2916.0,2916.0,11297.7998046875,8.300000190734863,3.8744170665740967,177.20870971679688,177.10899353027344,235.3000030517578,287.0,17.399999618530273,0.0008851281017996371,,,,,179.0,,,,746.0,,,61.0,,,,,,,,,,,,,0.0,,1.0,11673.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3356758960,"Apr 26, 2020, 1:52:05 PM",Morning Run,Run,,2335,8.93,176.0,56,false,,,activities/3587063865.tcx.gz,0.0,,2335.0,2311.0,8938.400390625,7.599999904632568,3.867762804031372,140.98110961914062,140.38099670410156,239.0,280.6000061035156,16.299999237060547,0.006712610833346844,,,,,176.0,,,,596.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,9218.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3363458139,"Apr 27, 2020, 8:59:33 PM",Afternoon Run,Run,,1879,7.23,178.0,60,false,,,activities/3594169412.tcx.gz,0.0,,1879.0,1874.0,7237.2001953125,7.400000095367432,3.8618996143341064,119.74044799804688,119.54000091552734,235.3000030517578,286.8999938964844,22.799999237060547,0.002763499738648534,,,,,178.0,,,,477.0,,,60.0,,,,,,,,,,,,,0.0,,1.0,7506.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3376974146,"Apr 30, 2020, 8:06:06 PM",Afternoon Run,Run,,1889,7.28,186.0,69,false,,,activities/3608345158.tcx.gz,0.0,,1889.0,1886.0,7288.5,8.5,3.864528179168701,119.3764877319336,117.07599639892578,235.3000030517578,286.8999938964844,20.899999618530273,0.03155656158924103,,,,,186.0,,,,482.0,,,69.0,,,,,,,,,,,,,0.0,,1.0,7559.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3381835188,"May 1, 2020, 8:10:43 PM",Afternoon Run,Run,,1992,7.55,178.0,44,false,,,activities/3613464627.tcx.gz,0.0,,1992.0,1988.0,7556.7001953125,8.100000381469727,3.801156997680664,134.96432495117188,135.46400451660156,235.39999389648438,286.8999938964844,19.399999618530273,-0.006616645026952028,,,,,178.0,,,,502.0,,,44.0,,,,,,,,,,,,,0.0,,1.0,7852.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3385727960,"May 2, 2020, 2:18:26 PM",Morning Run,Run,,2925,11.28,179.0,78,false,,,activities/3617552208.tcx.gz,0.0,,2925.0,2921.0,11288.2998046875,10.100000381469727,3.864532709121704,174.20217895507812,174.6020050048828,235.3000030517578,287.0,23.5,-0.003543491940945387,,,,,179.0,,,,740.0,,,78.0,,,,,,,,,,,,,0.0,,1.0,11647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3391708427,"May 3, 2020, 2:07:13 PM",Morning Run,Run,,1685,6.46,166.0,35,false,,,activities/3623848607.tcx.gz,0.0,,1685.0,1677.0,6463.89990234375,7.599999904632568,3.8544423580169678,80.49624633789062,80.79620361328125,256.0,291.1000061035156,14.399999618530273,-0.00464116083458066,,,,,166.0,,,,427.0,,,35.0,,,,,,,,,,,,,0.0,,1.0,6625.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
